,sumoId,tomId,distance
154,17949,207852.0,29.21912925825572
155,18045,91991.0,42.0808555801535
156,18149,208289.0,8.989410887406272
157,18200,208291.0,491.26026191024505
158,18282,207854.0,78.0353266239418
159,18047,208023.0,147.61062604838406
160,18046,91995.0,57.99676277162381
161,18201,92155.0,321.57824878124296
162,18202,208179.0,848.2677436443726
163,18275,207853.0,137.28203820014215
164,18276,207854.0,208.9992210520913
165,18283,207855.0,203.77712053924716
166,18150,92268.0,39.03067750940072
167,18044,92164.0,20.501292955147246
168,18278,207703.0,115.93519189334636
169,18174,227136.0,1025.1500782303474
170,17360,92404.0,355.21575138137047
171,17361,92404.0,63.27209555644611
172,17366,230999.0,307.52232665305496
173,17644,207808.0,238.22518166560158
174,17646,91969.0,430.60436731108666
175,17648,230999.0,351.8033313796391
176,18041,207751.0,21.349037321686158
